i2pd;https://f-droid.org/en/packages/org.purplei2p.i2pd/index.html;I2P Invisible Internet Protocol is a universal anonymous network layerAll communications over I2P are anonymous and endtoend encrypted participants dont reveal their real IP addressesI2P client is a software used for building and using anonymous I2P networksSuch networks are commonly used for anonymous peertopeer applications filesharing cryptocurrencies and anonymous clientserver applications websites instant messengers chatserversI2P allows people from all around the world to communicate and share information without restrictionsFor more information about I2P you can read article on Wikipedia;https://f-droid.org/repo/org.purplei2p.i2pd_2530100.apk;This version requires Android 4.1 or newer.;https://github.com/PurpleI2P/i2pd-android;https://github.com/PurpleI2P/i2pd-android/issues;2.53.1;view network connections <-> run foreground service <-> have full network access <-> android.permission.MANAGE_EXTERNAL_STORAGE <-> read the contents of your shared storage <-> run at startup <-> ask to ignore battery optimizations <-> modify or delete the contents of your shared storage <-> org.purplei2p.i2pd.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Safe Space;https://f-droid.org/en/packages/org.privacymatters.safespace/index.html;Safe space is an app that creates a separate place on your android device to store valuable files This storage location is not visible to other apps and is encrypted by the system by default Features Store files in a secure storage location that is not visible to other apps and is secured by device encryption and system authentication Biometric and PINPatternPassword Open Images Audio Video PDF documents and plain text documents Create simple text notes without leaving the app Dark and light mode ability to copy and move files Import from and export files to external storage without storage permissions Completely offline with no telemetry and data collection;https://f-droid.org/repo/org.privacymatters.safespace_35.apk;This version requires Android 10 or newer.;https://github.com/aashishksahu/SafeSpace;https://github.com/aashishksahu/SafeSpace/issues;2.0.4;take pictures and videos <-> show notifications <-> record audio <-> use biometric hardware <-> use fingerprint hardware <-> org.privacymatters.safespace.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
SelfPrivacy;https://f-droid.org/en/packages/pro.kherel.selfprivacy/index.html;SelfPrivacy a is a platform on your cloud hosting that allows to deploy your own private services and control them using mobile applicationTo use this application youll be required to create accounts of different service providers Please reffer to this manual httpsselfprivacyorgdocsgettingstartedApplication will do the following things for you Create your personal server Setup NixOS Bring all services to the readytouse state Services include Email ready to use with DeltaChat NextCloud a your personal cloud storage Bitwarden a secure and private password manager Pleroma a your private fediverse space for blogging Jitsi a awesome Zoom alternative Gitea a your own Git server;https://f-droid.org/repo/pro.kherel.selfprivacy_23.apk;This version requires Android 5.0 or newer.;https://git.selfprivacy.org/kherel/selfprivacy.org.app;https://git.selfprivacy.org/kherel/selfprivacy.org.app/issues;0.12.0;view network connections <-> have full network access <-> use biometric hardware <-> use fingerprint hardware <-> pro.kherel.selfprivacy.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
BLE Radar;https://f-droid.org/en/packages/f.cking.software/index.html;Bluetooth Radar in the background scans and analyzes Bluetooth Low Energy devices around you eg smartwatches headphones speakers and allows you to set complex rules to search for devices by specified filters For example by device name address location and time of discovery manufacturer and if an unknown device has been chasing you for a long time Can be used to find missing devices or notify you if the device of the person you are looking for is nearbyBluetooth Radar does not collect or send your personal or geolocation data The project is fully opensource and available on GitHub;https://f-droid.org/repo/f.cking.software_1708536357.apk;This version requires Android 10 or newer.;https://github.com/Semper-Viventem/MetaRadar;https://github.com/Semper-Viventem/MetaRadar/issues;0.26.1-beta;access location in the background <-> access approximate location only in the foreground <-> access precise location only in the foreground <-> view network connections <-> pair with Bluetooth devices <-> access Bluetooth settings <-> connect to paired Bluetooth devices <-> discover and pair nearby Bluetooth devices <-> run foreground service <-> run foreground service with the type "connectedDevice" <-> run foreground service with the type "location" <-> have full network access <-> show notifications <-> run at startup <-> ask to ignore battery optimizations <-> control vibration <-> prevent phone from sleeping <-> f.cking.software.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
AirGuard - AirTag protection;https://f-droid.org/en/packages/de.seemoo.at_tracking_detection/index.html;With AirGuard you get the antitracking protection you deserve The app periodically scans your surroundings for potential tracking devices like AirTags or other Find My devices The AirTags and other Find My devices are simple small and perfect to track Android users Without tracking warnings as integrated on iOS anyone could try to track your behavior by placing an AirTag in your jacket backpack or car With the app you can play a sound on AirTags and find it easily Afterward you can view at which locations the device has tracked you For this we use background location access All location data never leaves your deviceIf no one is trying to track you the app will never bother you How does it workAirGuard uses Bluetooth scans of your Android phone to find AirTags and Find My trackers Every tracker that is found will be saved locally on your device Whenever a tracker gets detected multiple times the app will recognize this It compares the locations where the tracker has been detected If a tracker is detected at least 3 times and the locations have changed to make sure its not your neighbour the app sends you a notification If this tracker is an AirTag you can play a sound to find it All this happens locally on your device and the private information like location tracker ids etc will never leave your device Who are weWe are part of the Technical University of Darmstadt in Germany This project is part of a scientific research from the Secure Mobile Networking Lab Our goal is to protect privacy and to find out how many people are opposed to trackingIn this app you can voluntarily participate in a research study that will share anonymized data with us This app will never get monetized by showing ads inapp purchases or anything else Our privacy policy can be found here httpstpeseemootudarmstadtdeprivacypolicyhtmlThis app is opensource httpsgithubcomseemoolabAirGuardDisclaimerAirTag FindMy and iOS are trademarks of Apple Inc We are not working together with Apple Inc;https://f-droid.org/repo/de.seemoo.at_tracking_detection_45.apk;This version requires Android 9.0 or newer.;https://github.com/seemoo-lab/AirGuard;https://github.com/seemoo-lab/AirGuard/issues;2.3;access location in the background <-> access approximate location only in the foreground <-> access precise location only in the foreground <-> view network connections <-> pair with Bluetooth devices <-> access Bluetooth settings <-> connect to paired Bluetooth devices <-> discover and pair nearby Bluetooth devices <-> run foreground service <-> have full network access <-> show notifications <-> run at startup <-> ask to ignore battery optimizations <-> Schedule precisely timed actions <-> Schedule alarms or event reminders <-> prevent phone from sleeping <-> de.seemoo.at_tracking_detection.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Find My Device (FMD);https://f-droid.org/en/packages/de.nulide.findmydevice/index.html;I lost my new phoneAnd because I dont use Google Services I couldnt locate it and my phone was gone for goodIn the hope that this doesnt happen again I developed this application so that I can locate the phone via SMSFeatures Locate the device using GPS or cellular location Lock the device Let the device ring Take pictures with the devices camera to see its surroundings Factoryreset the deviceUsageYou can control FMD and thus your phone either via SMS or via FMD ServerYou send a command to the phone eg fmd ring and the phone executes itFor SMS you can either define a list of trusted contacts phone numbers that are allowed to send commandsOr you can set a PIN to allow anonymous usageThen nontrusted phone numbers can also send commands by including the PIN in the messageThis is useful because now if you loose your phone you can ask a random person for help to wipe your phone remotelyIf you simply text fmd to your phone FMD will reply with a text listing the available commandsWith FMD Server you get a web interface to send commands to view the location of your device on a mapand to view pictures taken by the deviceYou can selfhost FMD ServerSee here for more details httpsgitlabcomnulidefindmydeviceserverDisclaimerThis app is provided on a best effort basisWe hope it is useful we use it ourselves but this is a hobby projectand we cant guarantee that it will work when you need it the most;https://f-droid.org/repo/de.nulide.findmydevice_26.apk;This version requires Android 7.0 or newer.;https://gitlab.com/Nulide/findmydevice;https://gitlab.com/Nulide/findmydevice/issues;0.6.0;access location in the background <-> access approximate location only in the foreground <-> access precise location only in the foreground <-> view network connections <-> access Do Not Disturb <-> view Wi-Fi connections <-> android.permission.BIND_NOTIFICATION_LISTENER_SERVICE <-> take pictures and videos <-> connect and disconnect from Wi-Fi <-> have full network access <-> show notifications <-> read phone status and identity <-> read your text messages (SMS or MMS) <-> run at startup <-> receive text messages (SMS) <-> record audio <-> ask to ignore battery optimizations <-> send and view SMS messages <-> This app can appear on top of other apps <-> prevent phone from sleeping <-> android.permission.WRITE_SECURE_SETTINGS <-> de.nulide.findmydevice.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> moe.shizuku.manager.permission.API_V23 <-> 
Windscribe;https://f-droid.org/en/packages/com.windscribe.vpn/index.html;Windscribe VPN is a tool that secures Wifi and helps you safeguard your privacy online Best part Itas absolutely free to use and offers up to 10GB of bandwidth per month if you supply a confirmed email address Thatas something you can actually useWith Windscribe VPN youll never mess with confusing settings and option menus again just turn it on once and forget about itGet up to 10GB of data per month for FREE which you can use on your iPhone iPad Mac or Windows PC or as a browser addon for Chrome Firefox and OperaFree FeaturesaSuper easy to use just turn it on with a single tapaUnblocks most georestricted contentaNetwork whitelisting  autoenabledisable the VPN when you get home or join any other wifi networkaSplit Tunneling  choose which apps should go over the VPN tunnelaEncrypts all your data so nobody can spy on your Internet activitiesaStrict nologging policya4 protocols to choose from OpenVPN UDPTCP IKEv2 StealthaAccess to servers in 10 countries Including US Canada UK and morePro FeaturesaSame as the free features plusaUnlimited bandwidthaUnlimited connectionsaAccess to servers in over 63 countries and over 110 datacenters;https://f-droid.org/repo/com.windscribe.vpn_1448.apk;This version requires Android 5.0 or newer.;https://github.com/Windscribe/Android-App;https://github.com/Windscribe/Android-App/issues;3.77;view network connections <-> view Wi-Fi connections <-> change network connectivity <-> run foreground service <-> have full network access <-> show notifications <-> query all packages <-> read the contents of your shared storage <-> run at startup <-> Schedule precisely timed actions <-> prevent phone from sleeping <-> set an alarm <-> com.windscribe.vpn.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Amber;https://f-droid.org/en/packages/com.greenart7c3.nostrsigner/index.html;Amber is a nostr event signer for Android It allows users to keep their nsec segregated in a single dedicated app The goal of Amber is to have your smartphone act as a NIP46 signing device without any need for servers or additional hardware Private keys should be exposed to as few systems as possible as each system adds to the attack surface as the rationale of said NIP states In addition to native apps Amber aims to support all current nostr web applications without requiring any extensions or web servers;https://f-droid.org/repo/com.greenart7c3.nostrsigner_79.apk;This version requires Android 8.0 or newer.;https://github.com/greenart7c3/Amber;https://github.com/greenart7c3/Amber/issues;1.2.0;view network connections <-> take pictures and videos <-> change network connectivity <-> run foreground service <-> run foreground service with the type "dataSync" <-> have full network access <-> show notifications <-> run at startup <-> use biometric hardware <-> use fingerprint hardware <-> prevent phone from sleeping <-> com.greenart7c3.nostrsigner.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION <-> 
Trigger;https://f-droid.org/en/packages/com.example.trigger/index.html;Open or close doors ring door bells and show the door stateSupported are Generic HTTPSSSHMQTTBluetooth and the Nuki SmartLockFeatures Generic HTTPS SSH Bluetooth and MQTT support Support for Nuki SmartLock Multiple door profiles Auto select profiles by connected WiFi HTTPS serverclient certificate support SSH key generation ED25519 RSA and passphrase support Custom status images QR code support Backup support;https://f-droid.org/repo/com.example.trigger_400.apk;This version requires Android 5.0 or newer.;https://github.com/mwarning/trigger;https://github.com/mwarning/trigger/issues;4.0.0;access approximate location only in the foreground <-> access precise location only in the foreground <-> view network connections <-> view Wi-Fi connections <-> pair with Bluetooth devices <-> connect to paired Bluetooth devices <-> take pictures and videos <-> have full network access <-> read phone status and identity <-> prevent phone from sleeping <-> 
MotionLock;https://f-droid.org/en/packages/us.spotco.motionlock/index.html;Super alpha Automatically keeps your device locked when it is face down or hasnt been moved Only monitors sensors when necessary Powered by Sensey library licensed under Apache20 Requires device admin for locking;https://f-droid.org/repo/us.spotco.motionlock_21.apk;This version requires Android 4.0 or newer.;https://gitlab.com/divested-mobile/motionlock;https://gitlab.com/divested-mobile/motionlock/issues;1.2;
